LocationName,DIABETES,LPA,OBESITY
Alameda,10.55,20.35,22.65
Alpine,10.05,18.7,28.549999999999997
Amador,10.2,21.6,29.55
Butte,10.3,22.75,29.950000000000003
Calaveras,11.149999999999999,23.5,29.8
Colusa,12.8,30.05,35.15
Contra Costa,10.45,23.2,27.9
Del Norte,11.35,24.9,30.95
El Dorado,9.4,18.7,27.549999999999997
Fresno,12.55,30.95,37.8
Glenn,11.85,27.65,32.25
Humboldt,10.7,23.45,31.700000000000003
Imperial,14.8,35.150000000000006,34.95
Inyo,10.9,22.0,28.35
Kern,13.3,32.0,36.1
Kings,12.5,30.7,34.8
Lake,12.399999999999999,26.85,32.75
Lassen,11.05,25.85,34.25
Los Angeles,12.1,25.95,26.45
Madera,13.15,31.65,36.6
Marin,8.85,17.4,21.3
Mariposa,11.45,23.3,30.7
Mendocino,12.05,25.1,29.4
Merced,13.15,33.45,34.05
Modoc,12.600000000000001,26.05,32.099999999999994
Mono,9.7,21.15,31.049999999999997
Monterey,12.05,26.85,31.25
Napa,10.350000000000001,22.85,28.049999999999997
Nevada,9.75,19.299999999999997,27.55
Orange,10.8,23.75,23.9
Placer,8.850000000000001,18.5,27.25
Plumas,11.25,22.6,30.0
Riverside,11.850000000000001,27.1,36.9
Sacramento,10.75,21.3,29.55
San Benito,10.9,25.15,31.4
San Bernardino,11.95,26.35,33.3
San Diego,9.7,20.5,25.35
San Francisco,9.75,18.85,17.15
San Joaquin,12.0,26.0,30.65
San Luis Obispo,9.3,19.85,26.85
San Mateo,9.8,19.75,22.15
Santa Barbara,10.55,24.15,26.85
Santa Clara,10.15,22.0,21.9
Santa Cruz,9.6,20.549999999999997,26.3
Shasta,10.55,21.5,29.3
Sierra,12.7,25.65,32.45
Siskiyou,11.9,24.6,31.9
Solano,11.3,24.700000000000003,31.25
Sonoma,9.649999999999999,20.6,26.1
Stanislaus,11.55,30.200000000000003,36.5
Sutter,12.100000000000001,27.299999999999997,29.6
Tehama,11.8,26.7,31.700000000000003
Trinity,13.3,26.799999999999997,33.25
Tulare,13.1,32.75,35.15
Tuolumne,10.5,21.95,29.1
Ventura,10.65,23.200000000000003,25.7
Yolo,9.7,23.0,26.799999999999997
Yuba,11.15,26.05,30.85
